Imię,Nazwisko,Klasa,J. polski,J. angielski,Matematyka,Historia,WF
Grzegorz,Błaszczyk,2D,4,4,1,2,1
Jacek,Kwiatkowski,4A,4,1,4,3,1
Patryk,Krupa,4A,2,4,5,5,4
Anastazy,Sadowska,3C,2,1,1,4,5
Mateusz,Woźniak,7D,5,2,2,2,2
Jan,Wróblewski,6A,3,1,1,5,4
Eryk,Szulc,6E,2,2,4,5,2
Kajetan,Kozłowski,1E,3,2,2,3,2
Amir,Mazurek,8B,3,2,1,3,2
Dorian,Kozłowski,3D,5,5,5,1,3
Mirosław,Pietrzak,8F,3,1,1,1,5
Aleksy,Woźniak,6B,1,1,4,5,1
Marcin,Dąbrowski,6A,1,3,5,2,5
Ksawery,Zieliński,1D,4,4,3,3,2
Krystian,Gajewska,8F,1,4,4,4,4
Marek,Wiśniewski,5C,1,5,4,4,2
Kajetan,Kucharski,3B,1,4,1,1,5
Emanuel,Wójcik,8E,1,3,5,1,5
Ryszard,Rutkowski,1E,1,2,4,1,4
Aleksander,Górski,7A,5,2,4,3,3
Alan,Krajewska,8B,3,4,5,4,1
Milan,Walczak,8B,2,5,5,1,4
Igor,Kalinowski,1B,1,4,4,2,3
Dobromił,Krawczyk,3E,4,1,4,3,4
Artur,Wróblewski,7B,1,3,1,2,3
Oktawian,Baran,8E,4,3,1,3,1
Alex,Głowacka,4F,5,2,1,4,2
Igor,Wiśniewski,4A,3,3,1,2,5
Gustaw,Wiśniewski,2F,1,2,3,4,2
Anastazy,Pawlak,3C,5,4,4,5,1
Kornel,Krajewska,5C,4,4,1,1,2
Amadeusz,Woźniak,2E,3,1,4,4,3
Kordian,Dąbrowski,3C,5,1,2,5,5
Miron,Szymczak,7A,2,4,5,5,3
Grzegorz,Wojciechowski,2B,1,2,3,2,5
Jacek,Brzeziński,3D,2,3,3,1,1
Eugeniusz,Sadowska,1E,3,1,2,3,2
Ariel,Michalak,7F,2,2,4,2,5
Franciszek,Sadowska,7B,2,2,2,5,3
Eugeniusz,Bąk,2E,2,5,3,1,3
Alexander,Malinowski,4F,1,2,2,3,3
Anastazy,Kucharski,2A,4,4,2,5,5
Arkadiusz,Adamska,8E,1,4,2,1,2
Aleks,Urbańska,4B,5,5,5,2,2
Florian,Woźniak,4B,2,1,3,4,3
Klaudiusz,Szczepański,7A,5,3,2,5,1
Aleks,Czerwiński,6F,3,1,1,4,4
Aleksander,Krajewska,1C,5,2,1,1,5
Alexander,Duda,6E,5,3,1,5,1
Mirosław,Wiśniewski,4F,1,5,5,5,3
Adam,Górecki,5D,1,3,3,5,2
Adam,Rutkowski,1A,4,5,5,2,2
Mieszko,Pietrzak,2F,3,5,4,4,5
Damian,Wasilewska,2E,2,1,1,5,4
Marcel,Makowski,2C,4,5,4,4,2
Bartosz,Zakrzewska,6E,3,1,3,5,5
Alex,Bąk,2C,4,4,4,3,3
Kuba,Marciniak,7C,4,2,5,1,3
Leszek,Szymański,5D,5,1,1,3,3
Allan,Zieliński,2D,3,3,1,2,3
Joachim,Kamiński,2F,1,3,5,3,5
Olaf,Lewandowski,1B,4,1,3,1,3
Marian,Wróblewski,1B,4,3,2,2,3
Mieszko,Ostrowski,7D,2,4,5,2,5
Alex,Kubiak,2F,2,1,5,5,5
Alfred,Malinowski,7E,3,5,3,1,4
Cyprian,Pietrzak,8A,1,4,4,4,5
Paweł,Laskowska,3E,1,2,2,2,5
Filip,Sadowska,4E,4,2,5,4,3
Klaudiusz,Kamiński,8E,3,2,1,5,2
Filip,Kowalczyk,8C,3,4,3,1,5
Alex,Kucharski,3A,4,4,1,1,3
Albert,Chmielewski,3F,5,3,3,3,5
Amadeusz,Walczak,6B,3,1,1,4,3
Martin,Jankowski,3E,1,5,2,4,5
Kacper,Szymczak,2F,2,5,3,3,3
Ksawery,Michalak,4C,1,2,2,2,4
Martin,Sikorska,4A,2,3,1,5,4
Alek,Baranowski,3E,3,3,3,1,3
Kacper,Kaźmierczak,6D,4,1,4,1,2
Natan,Kaczmarczyk,5A,4,3,3,3,4
Joachim,Sikorska,7A,2,3,4,3,1
Ariel,Górski,7F,1,3,4,2,2
Anastazy,Głowacka,2E,1,3,1,2,3
Olgierd,Krawczyk,8F,4,3,5,2,1
Alan,Rutkowski,3A,5,2,5,3,3
Bogumił,Woźniak,5B,2,2,3,1,3
Artur,Urbańska,4F,2,3,5,2,5
Eryk,Krupa,7F,2,1,4,4,4
Andrzej,Bąk,8B,3,5,1,5,1
Remigiusz,Stępień,4C,3,5,1,4,1
Korneliusz,Szulc,6C,5,4,2,2,4
Dominik,Kowalski,2F,3,2,5,3,5
Gracjan,Jaworski,2E,3,1,4,1,5
Kuba,Sikorska,7D,1,5,1,5,4
Eugeniusz,Sawicki,1A,2,4,5,2,3
Antoni,Wiśniewski,5D,1,4,5,3,1
Diego,Pietrzak,8F,3,3,4,1,4
Ludwik,Lis,1B,1,1,4,3,1
Milan,Czarnecki,4E,2,1,4,4,4
Lucjan,Wójcik,3F,3,5,2,3,1
Arkadiusz,Bąk,4D,2,1,2,5,3
Lucjan,Jakubowski,4B,4,5,3,2,1
Eryk,Mazur,7C,4,4,3,3,5
Marcin,Baranowski,5A,1,5,5,1,4
Rafał,Wróblewski,7D,2,3,2,1,3
Dorian,Mazur,8F,5,1,2,3,1
Artur,Kucharski,4A,1,3,3,4,4
Mariusz,Wróblewski,1C,1,1,2,5,3
Ernest,Malinowski,5C,4,3,4,3,3
Oskar,Wróblewski,3B,1,2,4,4,1
Grzegorz,Sikora,6C,3,3,4,1,4
Alek,Walczak,7C,5,2,3,5,4
Adam,Ostrowski,8E,5,4,1,5,3
Bolesław,Mazurek,1A,1,3,5,3,4
Anastazy,Kalinowski,5A,2,1,3,3,3
Natan,Błaszczyk,2D,4,5,1,5,3
Adrian,Duda,1F,5,3,4,1,4
Dorian,Kaczmarczyk,7A,4,1,5,4,5
Mateusz,Czerwiński,7E,4,4,4,3,3
Heronim,Borkowski,1E,5,3,5,2,3
Emil,Stępień,5E,1,1,5,3,1
Przemysław,Sokołowski,1F,4,4,1,5,1
Mikołaj,Głowacka,8D,5,5,1,2,3
Juliusz,Stępień,7D,2,4,2,3,1
Olaf,Kozłowski,2A,2,2,1,4,4
Artur,Sokołowski,3F,2,3,1,2,1
Alojzy,Sobczak,8C,3,5,5,3,3
Arkadiusz,Mróz,2E,3,1,4,2,5
Eustachy,Lewandowski,1E,3,3,2,4,3
Michał,Sokołowski,7D,1,2,5,3,1
Diego,Sobczak,4E,2,1,4,2,3
Jarosław,Rutkowski,6C,3,4,5,5,4
Michał,Ostrowski,6B,3,5,5,4,3
Andrzej,Kołodziej,8F,5,5,1,2,4
Ludwik,Czarnecki,1D,5,2,4,3,5
Aureliusz,Borkowski,1C,2,5,3,2,1
Bartosz,Sobczak,3B,5,5,3,2,3
Alan,Krajewska,6B,5,5,1,5,1
Bartłomiej,Laskowska,3F,5,5,4,1,4
Miron,Marciniak,1C,4,1,5,4,4
Antoni,Chmielewski,8E,3,1,3,1,4
Michał,Jankowski,3E,2,4,1,1,3
Michał,Szczepański,6B,3,2,1,5,2
Ryszard,Adamska,3B,5,5,2,4,4
Anatol,Sokołowski,5F,4,4,4,4,4
Albert,Jakubowski,5B,3,4,4,4,1
Konrad,Sikorska,3C,4,5,2,2,4
Maurycy,Ziółkowska,3E,2,5,4,1,4
Heronim,Zieliński,5F,3,5,1,2,2
Jerzy,Mazurek,7A,3,3,4,3,5
Mikołaj,Jaworski,2D,5,3,4,5,1
Krystian,Maciejewski,8B,3,1,5,5,4
Dorian,Głowacka,3B,4,5,3,2,2
Bruno,Kucharski,5A,2,1,4,3,1
Gracjan,Witkowski,1E,4,3,2,4,3
Bartłomiej,Przybylski,5B,3,3,4,3,5
Edward,Kaczmarczyk,5B,5,3,1,1,2
Kryspin,Górecki,7A,2,2,4,5,1
Marian,Urbańska,6F,4,5,2,3,1
Emanuel,Marciniak,4B,4,5,2,3,4
Miron,Urbańska,8B,4,2,2,5,1
Marian,Dąbrowski,7B,3,1,3,5,5
Ludwik,Kołodziej,4D,4,1,4,1,5
Kacper,Pawlak,8F,4,3,3,3,2
Antoni,Bąk,3C,3,5,5,1,5
Przemysław,Sawicki,1E,1,4,5,4,2
Bartłomiej,Kowalczyk,6E,4,4,1,2,5
Błażej,Szymański,8F,1,5,5,1,1
Alek,Kołodziej,8C,1,4,1,5,5
Ignacy,Szulc,3B,4,1,1,5,3
Patryk,Chmielewski,6F,4,1,2,4,3
Maurycy,Jankowski,8E,1,2,3,5,3
Dominik,Stępień,2C,4,1,1,3,5
Konstanty,Jasiński,5C,1,1,5,3,3
Józef,Chmielewski,6C,3,1,2,4,4
Konstanty,Szymczak,6B,1,2,2,5,1
Dariusz,Przybylski,3B,3,3,3,1,5
Kacper,Sobczak,3E,3,3,1,4,5
Eugeniusz,Wasilewska,6B,1,2,1,2,4
Rafał,Błaszczyk,1B,3,1,4,1,3
Edward,Kalinowski,6B,5,4,4,3,5
Aleksy,Michalak,8E,5,2,4,1,2
Mirosław,Woźniak,2B,5,2,1,4,3
Remigiusz,Rutkowski,5A,2,5,4,1,2
Alex,Krupa,8A,2,4,2,4,3
Olaf,Rutkowski,3F,3,1,5,5,3
Gustaw,Szymczak,6C,4,5,3,4,3
Denis,Baranowski,2B,1,1,2,4,5
Kamil,Michalak,3D,3,3,4,1,5
Ignacy,Szymański,1F,4,2,1,1,1
Filip,Wojciechowski,6B,5,2,5,2,5
Allan,Kamiński,2F,3,1,3,1,3
Bogumił,Jaworski,5C,5,3,3,5,1
Amadeusz,Kaczmarczyk,5C,5,4,3,4,4
Krzysztof,Woźniak,2C,5,5,5,4,2
Miłosz,Dąbrowski,4A,2,4,2,3,3
Arkadiusz,Nowak,1B,2,5,2,3,3
Alan,Witkowski,8A,5,5,4,3,2
Jan,Chmielewski,6C,3,1,5,1,4
Bolesław,Jakubowski,3F,3,4,1,5,5
Jarosław,Mróz,8F,2,3,2,4,5
Mateusz,Włodarczyk,1D,5,4,2,1,5
Jerzy,Sawicki,8F,4,2,1,1,1
Hubert,Kubiak,4D,5,2,1,2,5
Lucjan,Górski,1C,3,4,5,4,1
Marcin,Pawlak,6F,5,4,4,4,3
Daniel,Dąbrowski,6A,3,1,3,2,1
Eryk,Krawczyk,6A,1,5,1,5,1
Juliusz,Mróz,1B,3,5,3,3,5
Patryk,Malinowski,7F,1,1,3,2,1
Maciej,Baran,4F,4,2,3,1,3
Filip,Szymczak,3D,5,1,4,1,2
Oktawian,Zakrzewska,4D,4,5,4,2,1
Oskar,Mazurek,3A,3,1,5,1,4
Marek,Laskowska,3F,4,5,5,2,5
Łukasz,Szymczak,1C,1,4,3,1,1
Krystian,Ostrowski,1F,2,3,5,5,1
Ryszard,Kozłowski,2E,3,3,5,4,2
Franciszek,Czarnecki,8F,3,2,2,5,5
Emil,Kucharski,2C,4,5,2,5,1
Przemysław,Wojciechowski,4C,1,2,5,1,4
Amir,Pietrzak,6E,1,1,3,5,2
Antoni,Zakrzewska,4B,5,2,1,2,3
Kazimierz,Mazurek,5E,2,4,3,3,3
Lucjan,Mazurek,7D,1,1,5,2,5
Kryspin,Zawadzki,3A,1,3,4,3,5
Amir,Głowacka,1A,3,4,1,4,4
Kacper,Zakrzewska,6D,1,2,1,4,3
Ryszard,Mazurek,4A,3,3,2,2,4
Bogumił,Zieliński,5F,3,3,3,4,4
Leszek,Lewandowski,7E,1,1,1,3,3
Edward,Sikora,6C,4,5,4,2,3
Eustachy,Kalinowski,4E,4,5,3,4,4
Aleksy,Sikora,1B,4,3,5,2,3
Aleksy,Wiśniewski,3A,3,2,4,4,4
Piotr,Sawicki,1B,3,5,4,4,1
Fabian,Mazurek,3B,1,1,3,3,1
Rafał,Lis,2F,3,1,4,1,3
Edward,Kołodziej,2A,3,4,4,5,2
Józef,Bąk,5D,2,1,3,1,1
Igor,Przybylski,8F,2,5,5,5,3
Kajetan,Maciejewski,4E,3,1,1,2,2
Korneliusz,Przybylski,8C,4,1,4,2,2
Radosław,Borkowski,5A,1,2,5,3,4
Bolesław,Piotrowski,6F,4,2,4,3,1
Dorian,Kozłowski,3E,4,1,5,4,3
Bruno,Andrzejewski,3A,2,4,3,1,2
Krystian,Duda,5E,1,4,2,3,3
Robert,Szczepański,3C,4,1,3,3,4
Konstanty,Sokołowski,2F,5,5,4,2,4
Cyprian,Wróblewski,1B,4,5,3,1,3
Roman,Kalinowski,2C,4,5,1,1,3
Alek,Sadowska,5C,3,1,5,2,3
Józef,Nowak,8B,1,3,3,3,3
Jarosław,Tomaszewski,8E,2,3,1,1,4
Juliusz,Krawczyk,6D,1,4,5,1,5
Radosław,Witkowski,4C,1,1,2,3,4
Natan,Woźniak,7C,2,5,1,4,5
Maciej,Piotrowski,5D,5,5,5,2,2
Karol,Zalewski,4F,3,3,4,1,2
Edward,Błaszczyk,2E,5,4,2,4,3
Kajetan,Urbańska,2E,2,2,3,5,5
Józef,Krupa,2A,5,2,4,1,1
Borys,Kowalczyk,2B,4,5,4,5,1
Oktawian,Czerwiński,4E,5,3,3,3,4
Marek,Szymański,6D,1,1,5,1,2
Miłosz,Kucharski,8F,3,1,5,5,5
Bartosz,Szczepański,3B,4,3,5,3,3
Diego,Sobczak,1C,2,4,2,2,4
Artur,Kozłowski,5B,5,2,3,4,3
Andrzej,Malinowski,3C,4,2,3,4,2
Czesław,Kowalczyk,6C,3,4,4,4,1
Albert,Makowski,6C,3,5,4,5,2
Krzysztof,Kucharski,3E,3,1,1,2,1
Miron,Chmielewski,1F,5,2,5,2,4
Olaf,Górski,5A,3,1,5,5,2
Robert,Cieślak,1A,3,1,4,3,3
Jarosław,Kaźmierczak,1E,4,3,5,3,2
Józef,Zakrzewska,2F,1,4,3,3,4
Mariusz,Ziółkowska,1A,5,3,5,4,4
Dominik,Górski,6B,2,5,3,2,4
Marcin,Kaczmarczyk,8D,3,4,5,1,3
Artur,Czerwiński,1B,3,5,3,1,2
Kamil,Woźniak,4B,4,3,2,5,4
Mirosław,Urbańska,6D,1,3,2,2,5
Bogumił,Kubiak,1B,5,2,3,1,4
Mirosław,Lewandowski,5A,2,2,3,4,4
Marcel,Rutkowski,4E,3,1,1,4,3
Natan,Kowalczyk,7B,2,3,2,5,4
Henryk,Baranowski,1D,5,2,1,3,1
Remigiusz,Pawlak,5D,1,2,3,2,1
Bronisław,Kaźmierczak,5B,1,1,1,4,3
Natan,Szulc,7E,5,4,5,5,1
Konrad,Borkowski,2B,4,5,4,2,2
Alek,Brzeziński,8A,2,1,5,1,3
Paweł,Kubiak,4C,1,1,2,4,3
Błażej,Czerwiński,3E,3,2,1,1,2
Adam,Baran,5A,4,5,3,4,4
Alex,Kalinowski,3A,5,1,2,2,1
Amadeusz,Przybylski,4B,4,2,2,2,2
Kordian,Krupa,8E,3,2,2,5,2
Bartłomiej,Mróz,1D,2,1,3,1,5
Remigiusz,Wróblewski,4E,3,4,1,2,2
Lucjan,Nowak,1A,3,5,4,4,1
Mariusz,Wiśniewski,6B,2,2,3,1,1
Kazimierz,Borkowski,6F,1,5,3,4,2
Aleksy,Sikora,1A,4,2,3,5,4
Gabriel,Sikorska,7E,2,5,1,3,1
Jan,Czerwiński,6F,3,4,3,1,4
Anastazy,Witkowski,1D,2,2,3,4,2
Ireneusz,Krupa,1D,5,2,1,1,1
Korneliusz,Czarnecki,8A,4,1,4,4,3
Dawid,Kwiatkowski,5C,1,5,1,2,2
Bartosz,Krawczyk,8B,2,2,1,1,4
Martin,Górecki,4C,4,5,2,5,4
Edward,Kubiak,5C,2,5,1,4,1
Lucjan,Kołodziej,3F,3,5,2,5,5
Ariel,Witkowski,4B,2,1,3,4,2
Emil,Pietrzak,3F,5,5,2,2,3
Alan,Szymczak,2A,5,3,5,4,4
Olaf,Ziółkowska,8B,5,5,1,5,4
Ignacy,Mróz,1F,1,5,4,2,4
Florian,Mróz,6C,1,4,5,3,4
Kamil,Sadowska,3A,4,2,4,3,2
Amadeusz,Wójcik,3A,1,2,2,1,4
Fabian,Duda,8C,4,2,2,3,5
Grzegorz,Kucharski,1B,3,2,5,5,1
Milan,Kucharski,4F,1,2,3,2,3
Marian,Lewandowski,1C,5,3,4,3,4
Alojzy,Kalinowski,2C,3,1,1,5,5
Kuba,Kozłowski,1D,2,3,2,5,5
Marek,Mróz,4F,4,2,1,5,1
Kryspin,Pawlak,2B,4,1,2,5,1
Antoni,Witkowski,4B,4,3,3,5,2
Alex,Krajewska,7C,5,4,2,1,3
Czesław,Kwiatkowski,2F,1,3,1,1,3
Emanuel,Szczepański,2F,2,3,3,5,2
Radosław,Górecki,1D,4,1,4,4,2
Michał,Urbańska,8D,2,3,3,2,1
Julian,Kaźmierczak,3A,1,3,3,3,4
Bronisław,Szewczyk,3A,2,5,3,4,2
Florian,Kowalczyk,3D,2,1,1,2,4
Grzegorz,Czarnecki,7E,4,5,4,1,4
Kajetan,Szymczak,4B,4,4,4,1,2
Dorian,Malinowski,4F,4,3,1,1,5
Antoni,Kubiak,8E,3,2,2,4,4
Daniel,Kaczmarczyk,5E,3,3,2,4,3
Dominik,Malinowski,3F,2,5,1,4,5
Czesław,Jankowski,8C,4,3,5,1,3
Mateusz,Wróblewski,5A,3,4,4,2,2
Anastazy,Chmielewski,7E,2,5,1,3,3
Fryderyk,Kowalski,1A,1,1,5,4,2
Mikołaj,Przybylski,8F,1,1,4,4,1
Denis,Lewandowski,5F,5,3,4,3,5
Robert,Szewczyk,5C,1,3,4,2,4
Oskar,Krawczyk,4A,2,4,1,3,4
Antoni,Sawicki,6C,5,1,4,3,2
Henryk,Lis,4A,3,3,2,2,4
Aleks,Pietrzak,8C,1,5,5,1,4
Mateusz,Krajewska,6B,3,5,5,5,5
Konrad,Lewandowski,6D,1,4,3,3,1
Robert,Chmielewski,3B,4,2,4,4,1
Maksymilian,Kołodziej,2B,3,4,4,4,4
Ignacy,Błaszczyk,4C,4,4,2,4,3
Kordian,Woźniak,6E,3,3,1,1,4
Mikołaj,Lis,3C,1,3,3,1,4
Karol,Kaczmarczyk,8E,5,5,4,3,1
Filip,Baran,2D,3,5,3,5,1
Cyprian,Kwiatkowski,6D,3,3,2,2,1
Bolesław,Lewandowski,2C,4,1,1,5,5
Bronisław,Jaworski,5C,5,5,2,2,1
Joachim,Pawlak,1B,3,5,3,1,4
Kuba,Kaczmarczyk,7F,3,1,1,4,2
Aleksander,Czerwiński,1B,2,3,3,2,1
Aleks,Pawlak,4F,3,1,2,1,5
Alexander,Sadowska,4E,4,3,3,2,2
Amir,Sobczak,8A,5,3,2,5,4
Joachim,Sadowska,3C,2,3,1,5,2
Bruno,Maciejewski,7C,3,4,2,2,5
Kamil,Kucharski,5C,5,2,5,1,2
Kacper,Andrzejewski,1E,3,2,1,1,1
Edward,Chmielewski,6C,1,2,3,1,2
Joachim,Jankowski,2B,2,1,1,3,5
Marian,Witkowski,6C,1,4,1,5,2
Adam,Bąk,3C,1,1,4,3,1
Kryspin,Kaźmierczak,6D,2,3,2,5,5
Karol,Chmielewski,8A,5,5,4,3,3
Aleksander,Górecki,7D,2,4,5,4,4
Dawid,Lewandowski,5C,2,2,3,4,3
Kordian,Wysocki,3B,5,5,1,5,3
Jędrzej,Pawlak,6C,4,3,2,1,3
Alfred,Lis,1D,4,2,3,2,2
Leonardo,Szulc,2A,1,2,4,5,1
Rafał,Zakrzewska,4D,2,1,3,3,4
Arkadiusz,Cieślak,8C,3,5,3,4,2
Kornel,Makowski,3C,4,3,4,5,1
Przemysław,Jakubowski,3E,1,2,3,5,3
Mariusz,Piotrowski,6C,1,5,3,2,2
Adam,Lis,2A,5,4,3,5,4
Diego,Czarnecki,3F,4,1,3,5,2
Jakub,Maciejewski,2D,1,3,5,3,4
Milan,Witkowski,3C,4,4,1,3,3
Aleksander,Zalewski,8F,3,3,5,5,2
Maciej,Szczepański,6C,4,3,4,5,4
Dominik,Szewczyk,3D,2,1,4,4,5
Fabian,Przybylski,8A,3,5,1,1,3
Florian,Makowski,3D,5,4,4,1,5
Aureliusz,Czarnecki,7F,5,4,3,5,3
Marian,Jasiński,8B,1,2,1,3,4
Eugeniusz,Szulc,5B,2,2,5,4,2
Leonardo,Wójcik,7B,1,2,3,3,2
Bruno,Mazur,3D,5,3,3,3,2
Krystian,Kwiatkowski,8F,3,4,5,2,2
Cezary,Zakrzewska,6E,1,3,4,4,2
Antoni,Laskowska,7A,3,5,1,2,5
Mieszko,Kalinowski,1B,3,1,2,3,1
Paweł,Maciejewski,7B,3,2,5,5,4
Ireneusz,Lis,8F,3,2,5,4,3
Gniewomir,Górski,7E,5,5,4,3,4
Albert,Walczak,1C,2,1,4,3,3
Leszek,Makowski,5E,2,5,3,1,1
Artur,Wojciechowski,6A,1,5,1,4,3
Emil,Ostrowski,6B,3,4,1,5,5
Martin,Błaszczyk,7E,3,5,4,5,4
Oskar,Nowak,3F,1,3,4,4,1
Joachim,Borkowski,6C,5,2,5,4,5
Błażej,Baranowski,4C,5,3,2,2,2
Kacper,Nowak,4F,4,1,4,3,4
Daniel,Lewandowski,5C,2,5,5,2,2
Bruno,Błaszczyk,3B,4,1,2,2,3
Ireneusz,Woźniak,7F,3,4,5,4,1
Klaudiusz,Kaźmierczak,5C,5,4,3,5,5
Paweł,Jankowski,2F,2,4,4,1,4
Marek,Kowalczyk,2C,5,1,1,2,1
Mateusz,Ostrowski,5D,1,2,3,3,4
Roman,Dąbrowski,2D,5,5,3,3,2
Konstanty,Kowalczyk,4E,2,4,5,5,2
Alexander,Kołodziej,8B,1,5,5,2,3
Józef,Michalak,1B,4,5,1,3,3
Maksymilian,Kołodziej,2D,2,5,2,2,4
Edward,Laskowska,2E,5,4,5,1,1
Milan,Rutkowski,7D,3,3,4,3,2
Alex,Czarnecki,1E,3,5,5,5,4
Aleksy,Malinowski,2D,5,1,5,3,1
Miłosz,Baranowski,6B,3,1,5,5,3
Dominik,Kowalski,6B,1,4,3,1,1
Emanuel,Wójcik,2D,5,1,1,4,5
Jakub,Sikora,5E,1,2,5,2,5
Andrzej,Wasilewska,1E,5,1,5,2,2
Leszek,Borkowski,8D,1,4,5,5,3
Alojzy,Wróblewski,5F,3,3,5,2,1
Allan,Krawczyk,2C,2,4,4,5,1
Korneliusz,Zawadzki,2D,5,2,5,3,2
Ignacy,Makowski,2E,5,3,2,1,3
Klaudiusz,Woźniak,7D,5,2,1,2,2
Mateusz,Bąk,7B,1,1,4,4,5
Daniel,Mazurek,5E,4,1,4,5,5
Leszek,Jasiński,7E,2,3,4,4,5
Igor,Kamiński,1F,1,5,1,2,5
Diego,Mazur,6C,2,3,1,4,2
Andrzej,Kalinowski,3D,2,3,2,5,4
Alan,Kowalski,7A,5,1,2,4,2
Rafał,Mazur,6D,3,5,2,5,2
Maksymilian,Kołodziej,6D,3,3,3,2,2
Henryk,Cieślak,1B,5,2,1,1,4
Jarosław,Makowski,3D,3,5,5,5,5
Klaudiusz,Andrzejewski,7A,3,2,1,4,4
Dominik,Kołodziej,2F,2,4,5,5,5
Martin,Kaźmierczak,7B,2,2,1,4,4
Damian,Zalewski,6A,1,4,3,5,5
Joachim,Nowak,1B,1,4,5,3,1
Ignacy,Wróblewski,5D,5,1,1,3,3
Emil,Górski,7E,4,3,3,5,3
Eryk,Zawadzki,4D,4,4,1,5,5
Aureliusz,Wasilewska,1C,5,1,1,2,3
Kacper,Wróblewski,1E,1,4,4,1,4
Aleksander,Laskowska,3F,3,1,2,5,1
Ksawery,Duda,8C,1,3,3,1,1
Juliusz,Baranowski,4A,4,4,1,2,1
Bartosz,Woźniak,6F,1,1,3,4,4
Eryk,Maciejewski,5D,2,5,5,3,1
Eugeniusz,Kowalski,1A,3,2,1,1,2
Bartosz,Jaworski,7C,3,1,3,3,4
